fecha	minuto	tiempo	gol
1	16	1	A favor
2	11	1	A favor
2	53	2	En contra
2	80	2	A favor
3	10	1	En contra
3	21	1	A favor
3	45	1	A favor
3	90	2	En contra
4	19	1	En contra
5	15	1	A favor
5	49	2	En contra
5	56	2	A favor
5	90	2	A favor
6	1	1	En contra
6	22	1	En contra
6	70	2	En contra
6	90	2	A favor
7	7	1	A favor
7	88	2	A favor
8	11	1	En contra
8	26	1	A favor
8	89	2	En contra
9	73	2	A favor
10	26	1	En contra
10	30	1	En contra
10	41	1	A favor
10	52	2	En contra
10	90	2	A favor
11	61	2	A favor
11	70	2	A favor
12	19	1	A favor
12	75	2	A favor
13	15	1	A favor
13	35	1	A favor
16	45	1	A favor
16	47	2	A favor
